Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Title,Price,Image,Brand,Battery Cell,Vendor,Vendor Price,Quantity
"Laptop, Power Adaptor, User Guide, Warranty Documents",GF63 Thin 11UC-867IN,9S7-16R612-867,GF63 Thin 11UC-867IN,,Black,Gaming Laptop,"Gaming, Processing & Multitasking",No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,11400H,2.70 GHz Max Turbo Boost Frequency Up to 4.50 GHz,12,NVIDIA GeForce RTX 3050,,64 bit,Windows 10 Home,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen.1, 3 x Type-A USB3.2 Gen.1",1 x HDMI (4K @ 30Hz),No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz, 45% NTSC, IPS-Level Panel",Built-in Dual Speakers,Yes,Intel Wi-Fi 6 AX201(2x2 ax),v5.2,359 x 254 x 21.7 mm,1.86 Kg,Not Available,HD type (30fps@720p),Single Backlight Keyboard (Red),Yes,2 Year Carry-In Warranty Term,Carry in,Manufacturing Defects,Physical Damage,2 Year,"MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) GF63 Thin 11UC-867IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)","₹63,990",https://rukminim1.flixcart.com/image/416/416/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,MSI,3 Cell,"Ret1,Amazon",57591.0,11518
"Laptop, Power Adaptor, User Guide",GF65 Thin 10UE-410IN,9S7-16W212-410,GF65 Thin 10UE-410IN,GF65 Thin,Black,Gaming Laptop,"Gaming, Processing & Multitasking",No,Intel,Core i7,Yes,1 TB,16 GB,DDR4,10750H,5.0 GHz,,NVIDIA GeForce RTX 3060,,64 bit,Windows 10 Home,,,"2 x Type-C USB 3.2 gen.1, 2 x Type-A USB 3.2 gen.1",1 x HDMI,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",Built-in Dual Speakers,Built-in microphone,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,359 x 254 x 21.7 mm,1.86 kg,Not Available,HD type (30fps@720p),Single backlight KB(Red),Yes,2 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",,"MSI GF65 Thin Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) GF65 Thin 10UE-410IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)","₹89,990",https://rukminim1.flixcart.com/image/416/416/ktszgy80/computer/a/4/a/gf65-thin-10ue-410in-gaming-laptop-msi-original-imag72h6wn7ktgzy.jpeg?q=70,MSI,3 cell,"Ret1,Amazon",80991.0,16198
"Laptop, battery, adapter, cables and user manuals",INSPIRON 3511,D560659WIN9S,INSPIRON 3511,Inspiron,Platinum Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1135G7,4.2,8,Intel Integrated UHD Graphics,4.0,64 bit,Windows 11 Home,Windows 11,Yes,"2x USB 3.2 Gen1 ,1x USB 2.0",1x HDMI 1.4,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,FHD WVA AG Narrow Border,Yes,Yes,802.11ac,v5.0,189 X 358 X 23.5 mm,1.8 Kgs,Not Available,HD,English International Backlit Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.8 Kgs, With MS Office)","₹63,390",https://rukminim1.flixcart.com/image/416/416/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL,3,"Ret1,Amazon",57051.0,11410
"Laptop, Power Adaptor, User Guide, Warranty Documents",K513EA-L322WS,90NB0SG1-M016F0,K513EA-L322WS,VivoBook Ultra K15 OLED,Indie Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,6,Intel Integrated UHD,2.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1 x HDMI 1.4 port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, OLED, 0.2ms response time, 600nits peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display",Built-in Speaker,Built-in Microphone,Wi-Fi 6(802.11ax),v5.0,359.0 x 235.0 x 17.9 mm,1.80 kg,Not Available,720P HD camera,Backlit Chiclet Keyboard with Num-key,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"ASUS VivoBook Ultra K15 OLED Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L322WS Thin and Light Laptop  (15.6 inch, Indie Black, 1.80 kg, With MS Office)","₹43,990",https://rukminim1.flixcart.com/image/416/416/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70,ASUS,3 cell,"Ret1,Amazon",39591.0,7918
"Laptop, battery, power adapter, user guide",Katana GF66 11UD-876IN,9S7-158212-876,Katana GF66 11UD-876IN,Katana GF66,Black,Gaming Laptop,Processing & Multitasking,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,11400H,Max Frequency Up to 4.5 GHz,,NVIDIA GeForce RTX 3050Ti,,64 bit,Windows 10 Home,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen.1, 2 x Type-A USB3.2 Gen.1, 1 x Type-A USB2.0",1 x HDMI 2.0,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",2 x 2W,Yes,Intel Wi-Fi 6 AX201(2 x 2 ax),v5.1,359 x 259 x 24.9 mm,2.25 kg,Not Available,HD type (30fps 720p),Single backlight KB(Red),Yes,2 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",2 Year,"MSI Katana GF66 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) Katana GF66 11UD-876IN Gaming Laptop  (15.6 Inch, Black, 2.25 kg)","₹72,990",https://rukminim1.flixcart.com/image/416/416/kt1u3rk0/computer/v/x/u/katana-gf66-11ud-thin-and-light-laptop-msi-original-imag6hgucfpqacvt.jpeg?q=70,MSI,,"Ret1,Amazon",65691.0,13138
"Laptop, Power Adaptor, User Guide, Warranty Documents",TravelMate P214-53,UN.VPLSI.075,TMP214-53,Travelmate,Black,Thin and Light Laptop,"Everyday Use, Processing & Multitasking, Travel & Business",No,Intel,Core i5,Yes,256 GB,16 GB,DDR4,1135G7,,,Intel Integrated Iris Xe,,64 bit,Windows 10 Home,Windows 10 Home 64-bit,Yes,"3 x USB 3.1 Gen 1 Type A, 1 USB 3.2 Gen 2 Type C(Thunderbolt 4)",1x HDMI 2.0,No,35.56 cm (14 inch),1920x1080 Pixel,Full HD IPS Display,Two built-in stereo speakers,Built-in Dual Microphone,802.11 AX WiFi 6,v5.1,328 x 236 x 19.9 mm,1.68 kg,Not Available,HD Webcam,Spill resistant Keyboard,,1 Year International Travelers Warranty (ITW),Carry-in,Manufacturing Defects,Physical Damage,1 Year,"acer Travelmate Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) TravelMate P214-53 Thin and Light Laptop  (14 inch, Black, 1.68 kg)","₹62,590",https://rukminim1.flixcart.com/image/416/416/kshtxu80/computer/5/f/2/tmp214-53-thin-and-light-laptop-acer-original-imag6fw964yqx6h9.jpeg?q=70,acer,,"Ret1,Amazon",56331.0,11266
"Laptop, battery, power adapter, user guide",Pulse GL66 11UGK-431IN,9S7-158124-431,Pulse GL66 11UGK-431IN,Pulse GL66,Gray,Gaming Laptop,Processing & Multitasking,No,Intel,Core i7,Yes,1 TB,16 GB,DDR4,11800H,Max Frequency Up to 4.6GHz,,NVIDIA GeForce RTX 3070,,64 bit,Windows 10 Home,Windows 10 Home,Yes,"1 x Type-C USB3.2 Gen.1, 2 x Type-A USB3.2 Gen.1, 1 x Type-A USB2.0",1 x HDMI 2.0,No,39.62 cm (15.6 Inch),2560 x 1440 Pixel,QHD 165Hz DCI-P3 100%,2 x 2W,Yes,Intel Wi-Fi 6 AX201(2 x 2 ax),v5.1,359 x 259 x 23.95 mm,2.25 kg,Not Available,HD type (30fps 720p),RGB Gaming Keyboard,Yes,2 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",2 Year,"MSI Pulse GL66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) Pulse GL66 11UGK-431IN Gaming Laptop  (15.6 Inch, Gray, 2.25 kg)","₹1,08,990",https://rukminim1.flixcart.com/image/416/416/kt1u3rk0/computer/k/f/3/pulse-gl66-11ugk-thin-and-light-laptop-msi-original-imag6hgu5bffmasm.jpeg?q=70,MSI,,"Ret1,Amazon",98091.0,19618
"Laptop, Battery, Power Adapter, User Guide",Bravo 15 B5DD-410IN,9S7-158K12-410,Bravo 15 B5DD,Bravo 15,Black,Gaming Laptop,Processing & Multitasking,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5600H,"Base Frequency: 3.3 GHz, Max Boost Upto 4.2 GHz",,AMD Radeon RX 5500M,6.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x Type-C USB 3.2 Gen 1, 2 x Type-A USB 3.2 Gen1, 1 x Type-A USB 2.0",1 x HDMI,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, Refresh Rate: 144 Hz, 45% NTSC, IPS-Level",Built-in Dual Speaker,Yes,AMD Wi-Fi 6E RZ608,v5.1,359 x 259 x 24.95 mm,2.35 kg kg,Not Available,HD type (30fps@720p),Single Backlight Keyboard (Red),Yes,1 Year Warranty,Onsite,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,"MSI Bravo 15 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 5500M) Bravo 15 B5DD-410IN Gaming Laptop  (15.6 inch, Black, 2.35 kg kg)","₹54,990",https://rukminim1.flixcart.com/image/416/416/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70,MSI,3 Cell,"Ret1,Amazon",49491.0,9898
"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA,NH.Q97SI.001/ NH.Q97SI.004,,Aspire 7,Black,Gaming Laptop,Gaming,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,,2.4 GHz with Turbo Boost Upto 5 GHz,,NVIDIA GeForce GTX 1650,,64 bit,Windows 10 Home,,Yes,"1 x USB Type-C Port, 2 x USB 3.2 Gen 1 Ports, 1 x USB 2.0 Port",1 x HDMI Port,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD Acer ComfyView LED Backlit TFT LCD Anti-glare Display (45% NTSC Color Gamut, Wide Viewing Angle up to 170 Degrees, Ultra-Slim Design, 16:9 Aspect Ratio, IPS Level Panel, Mercury Free, Environment Friendly)",Built-in Dual Stereo Speakers,Built-in Dual Microphones,802.11a/b/g/n/acR2+ax wireless LAN,v5.0,363.4 x 254.5 x 20.9,2.15 Kg,Not Available,720p HD Webcam (1280 x 720 Resolution),FineTip Backlit Keyboard with Independent Standard Numeric Keypad ( International Language Support and Power Button),Yes,1 Year International Travelers Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA Gaming Laptop  (15.6 inch, Black, 2.15 Kg)","₹53,490",https://rukminim1.flixcart.com/image/416/416/kp1imq80/computer/u/b/z/na-gaming-laptop-acer-original-imag3d63hk3h8nm2.jpeg?q=70,acer,3,"Ret1,Amazon",48141.0,9628
"Laptop, Power Adaptor, User Guide, Warranty Documents",X415KA-EK111WS,90NB0VH1-M00380,X415KA-EK111WS,VivoBook 14,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Pentium Silver,Yes,256 GB,4 GB,DDR4,N6000,3.3,4,Intel Integrated UHD Graphics 600,4.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1x HDMI 1.4,No,35.56 cm (14 Inch),1920 x 1080 Pixels,"FHD, Anti-glare display (Brightness 220 nits, 45% NTSC color gamut)",Built-in speaker,Built-in microphone,Wi-Fi 5(802.11ac),v4.1,325.4 x 216.0 x 19.9 mm,1.50 Kg,Not Available,720p HD camera,Chiclet Keyboard,Yes,1 Year onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS VivoBook 14 Pentium Silver - (4 GB/256 GB SSD/Windows 11 Home) X415KA-EK111WS Thin and Light Laptop  (14 Inch, Transparent Silver, 1.50 Kg, With MS Office)","₹28,990",https://rukminim1.flixcart.com/image/416/416/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,ASUS,2,"Ret1,Amazon",26091.0,5218
"Laptop, Power Adaptor, User Guide, GV 301 Sleeve Bag, Pen, Warranty Documents",GV301QH-K6464TS 2-in-1,90NR06C1-M11030,,ROG Flow X13 (2021),Off Black,2 in 1 Gaming Laptop,"Gaming, Processing & Multitasking",Yes,AMD,Ryzen 9 Octa Core,Yes,1 TB,16 GB,LPDDR4X,5900HS,3.1 GHz with Turbo Boost up to 4.5 GHz,16,NVIDIA GeForce GTX 1650,8.0,64 bit,Windows 10 Home,,Yes,"1 x USB 3.2 Gen 2 Type-A, 2 x USB 3.2 Gen 1 Type-C (Support DisplayPort/Power Delivery)",1 x HDMI Port (v2.0b),Yes,34.04 cm (13.4 Inch),1920 x 1200 Pixel,"WUXGA LED Backlit Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated)",Built-In Dual Speakers,Built-In Array Microphone (AI Noise Cancelling),Wi-Fi 6 (802.11ax),v5.1,29.9 x 22.2 x 1.58,1.3 KG,Not Available,720p HD Webcam,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5900HS - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) GV301QH-K6464TS 2-in-1 2 in 1 Gaming Laptop  (13.4 Inch, Off Black, 1.3 KG, With MS Office)","₹99,990",https://rukminim1.flixcart.com/image/416/416/koixwnk0/computer/b/i/z/na-gaming-laptop-asus-original-imag2ygghykjhv95.jpeg?q=70,ASUS,4 Cell,"Ret1,Amazon",89991.0,17998
"Laptop, Battery, Adapter, Cables and User Manuals",Vostro 3401,D552224WIN9D,,Vostro,Dune,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1005G1,1.2 GHz Upto Max Turbo Frequency at 3.4 GHz,4,Intel Integrated HD,2.0,64 bit,Windows 11 Home,,Yes,"2 x USB 3.2 Gen 1, 1 x USB 2.0",HDMI 1.4,No,35.56 cm (14 inch),1920 x 1080 Pixels,Full HD WVA AG Narrow Border,Built-in Speaker,Built-in Microphone,802.11ac,v5.0,18.1 to 19.9 x 328 x 239,1.58 Kg,Not Available,HD Webcam,English International Non Backlit Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3401 Thin and Light Laptop  (14 inch, Dune, 1.58 Kg, With MS Office)","₹43,290",https://rukminim1.flixcart.com/image/416/416/l44hyfk0/computer/o/d/w/-original-imagf35eyyeezqpk.jpeg?q=70,DELL,3 Cell,"Ret1,Amazon",38961.0,7792
"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",FX517ZC-HN035WS,90NR09L1-M000P0,FX517ZC-HN035WS,TUF Dash F15 (2022),Moonlight White,Gaming Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR5,12450H,"Base Frequency 2.0 GHz, Max Turbo Boost 4.4 GHz",12 MB,NVIDIA GeForce RTX 3050,8.0,,Windows 11 Home,Windows 11 Home,Yes,"1 x Thunderbolt 4 Support DisplayPort, 1 x USB 3.2 Gen 2 Type-C Support DisplayPort / Power Delivery / G-SYNC, 2 x USB 3.2 Gen 1 Type-A",1x HDMI 2.0b,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, IPS level, Anti-glare, Refresh Rate: 144 Hz, Viewing Angle: 85/85/85/85, 250 nits Brightness, 1000:1 Contrast, 45% NTSC%, 62.5% SRGB%, 47.34% Adobe%, Adaptive Sync",Built-in Dual Speaker,Built-in array microphone,Wi-Fi 6 (802.11ax) (Dual band) 2 x 2,v5.1,354 x 251 x 19.9 mm,2 kg,Not Available,720P HD camera,Backlit Chiclet Keyboard Single Light,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS TUF Dash F15 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FX517ZC-HN035WS Gaming Laptop  (15.6 inch, Moonlight White, 2 kg, With MS Office)","₹84,990",https://rukminim1.flixcart.com/image/416/416/l4n2oi80/computer/q/u/u/-original-imagfhpzry32pdyg.jpeg?q=70,ASUS,4 Cell,"Ret1,Amazon",76491.0,15298
"Laptop, Power Adaptor, User Guide, Warranty Documents",EX215-54,NX.EGJSI.00E,EX215-54,Extensa 15,Charcoal Black,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",No,Intel,Core i3,Yes,256 GB,4 GB,DDR4,1115G4,"Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",,Intel Integrated UHD,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1ports, 1 x USB 2.0 port",1 x HDMI Port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD high-brightness Acer ComfyView LED-backlit TFT LCD,Built-in dual stereo speakers,Built-in digital Microphone,802.11a/b/g/n/ac wireless LAN,v5.0,363.4 x 250.5 x 19.9 mm,1.7 kg,Not Available,HD webcam,"100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",No,1 Year International Travelers Warranty (ITW),Onsite,covered_in_warranty,Physical Damage,,"acer Extensa 15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 11 Home) EX215-54 Thin and Light Laptop  (15.6 inch, Charcoal Black, 1.7 kg)","₹29,990",https://rukminim1.flixcart.com/image/416/416/l1fc0i80/computer/5/x/c/-original-imagczgszcxeyfgg.jpeg?q=70,acer,2 cell,"Ret1,Amazon",26991.0,5398
"Laptop, Power Adaptor, User Guide, Warranty Documents",X712EA-AU511WS,90NB0TW1-M006R0,X712EA-AU511WS,,Transparent Silver,Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,256 GB,16 GB,DDR4,1135G7,"Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz",8,Intel Integrated Iris Xe,4.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4 port,No,43.94 cm (17.3 inch),1920 x 1080 Pixel,"Full HD 16:9 aspect ratio, LED Backlit, IPS-level Panel, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 6(802.11ax),v5.0,406.0 x 256.0 x 21.4 mm,2.30 kg,Not Available,720p HD camera,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"ASUS Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X712EA-AU511WS Laptop  (17.3 inch, Transparent Silver, 2.30 kg, With MS Office)","₹50,990",https://rukminim1.flixcart.com/image/416/416/kwl0akw0/computer/0/v/s/x712ea-au511ts-thin-and-light-laptop-asus-original-imag98bdf6decxkg.jpeg?q=70,ASUS,3 cell,"Ret1,Amazon",45891.0,9178
"Laptop, Power Adaptor, User Guide, Warranty Documents",TP470EA-EC512WS,90NB0S01-M00BT0,TP470EA-EC512WS,VivoBook Flip 14,Indie Black,2 in 1 Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,LPDDR4X,1135G7,4.2,8,Intel Integrated Iris Xe Graphics,4.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 2 Type-A, 1x Thunderbolt 4",1x HDMI 1.4,Yes,35.56 cm (14 Inch),1920 x 1080 Pixels,"FHD, IPS-level Panel (250 nits Brightness, 45% NTSC color gamut)",Built-in speaker,Built-in array microphone,Wi-Fi 6(802.11ax),v5.0,324.0 x 220.0 x 18.7 mm,1.50 Kg,Not Available,720p HD camera,Backlit Chiclet Keyboard,Yes,1 Year onsite warranty,Onsite,Manufacturing defects,Physical damage,1 Year,"ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) TP470EA-EC512WS 2 in 1 Laptop  (14 Inch, Indie Black, 1.50 Kg, With MS Office)","₹63,990",https://rukminim1.flixcart.com/image/416/416/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70,ASUS,3,"Ret1,Amazon",57591.0,11518
"Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad 3 14IIL05,81WD0141IN,IdeaPad 3 14IIL05,IdeaPad,Abyss Blue,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,256 GB,4 GB,DDR4,1005G1,3.4,4,Intel Integrated UHD Graphics,2.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 2.0, 2x USB 3.2 Gen 1,",1x HDMI® 1.4b,No,35.56 cm (14 Inch),1920 x 1080 Pixels,FHD. (TN 220nits Anti-glare),Built it dual stereo speakers,Built in dual array microphone,"11ac, 2x2",v5.0,327.1 x 241 x 19.9 mm,1.6 kg,Not Available,720p,"Non-backlit, English",No,2 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,"Lenovo IdeaPad Core i3 10th Gen - (4 GB/256 GB SSD/Windows 11 Home) IdeaPad 3 14IIL05 Thin and Light Laptop  (14 Inch, Abyss Blue, 1.6 kg, With MS Office)","₹35,990",https://rukminim1.flixcart.com/image/416/416/ku4ezrk0/computer/h/x/8/14iil05-thin-and-light-laptop-lenovo-original-imag7anttggbgmzm.jpeg?q=70,Lenovo,,"Ret1,Amazon",32391.0,6478
"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- fq4021TU,546K8PA#ACJ,15s- fq4021TU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1155G7,4.5,8,Intel Integrated Iris Xe Graphics,4.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x Super Speed USB Type-C, 2 x Super Speed USB Type-A",1x HDMI 1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD, micro-edge, anti-glare (Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC)",Inbuilt dual Speakers,Integrated dual array digital microphones,MediaTek Wi-Fi CERTIFIED 6 MT7921 (2x2),v5.2,358 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,1 Year onsite warranty,Onsite,Manufacturing defects,Physical damage,1 Year,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹50,999",https://rukminim1.flixcart.com/image/416/416/l2jcccw0/computer/s/k/0/-original-imagdus5mrsgjepa.jpeg?q=70,HP,3,"Ret1,Amazon",45899.1,9179
"Laptop, AC Adapter, User Guide, Manuals",FX506LH-HN258T,90NR03U2-M07840,FX506LH-HN258T,,Black,Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,,,,NVIDIA GeForce GTX GTX 1650,,,Windows 10,,,,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,,,,YES,,,Not Available,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,"ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10/4 GB Graphics) FX506LH-HN258T Laptop  (15.6 inch, Black, With MS Office)","₹59,890",https://rukminim1.flixcart.com/image/416/416/l4fxh8w0/computer/d/g/t/fx506lh-hn258ts-laptop-asus-original-imagfcf43hxg4khr.jpeg?q=70,ASUS,,"Ret1,Amazon",53901.0,10780
"Laptop, battery, adapter, cables and user manuals",Vostro 3510,ICC-D585033WIN8,X9K0T,Vostro,Black,Thin and Light Laptop,Everyday Use,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1005G1,3.4,4,Intel Integrated UHD Graphics,,64 bit,Windows 11 Home,Windows 11,Yes,"2x USB 3.2 Gen1 ,1x USB 2.0",1x HDMI 1.4 port,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD, WVA AG Narrow Border",Yes,Yes,802.11ac,v5.0,189 X 358 X 23.5 mm,1.8 Kgs,Not Available,HD,English International Non Backlit Keyboard,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop  (15.6 Inch, Black, 1.8 Kgs, With MS Office)","₹41,890",https://rukminim1.flixcart.com/image/416/416/l13whow0/computer/s/e/r/-original-imagcr7j9zvqpjeq.jpeg?q=70,DELL,3,"Ret1,Amazon",37701.0,7540
